OK;0;Centrale de La Serve;Libellé;Ad API;CE;Astreinte;Histo.;N° page;N° page;N° page;écri.;Automate;Val.API mini;Val. API maxi;Val. fin mini;Val. fin maxi;Unités;Nb  0.00;Lib.inactif;Lib.actif;#
X;156;;Défaut acquisition tension d'excitation;%M1092;236;def1092|groupe1;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;157;;Défaut acquisition tension réseau;%M1093;237;def1093|groupe1;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;158;;Niveau bas bac à graisse prolongé;%M1095;239;;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;159;;Remplissage bac à graisse;%M1096;240;;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;160;;Alarme température huile pivot alternateur;%M1097;241;def1097|groupe1;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;161;;Alarme température palier inférieur alternateur;%M1098;242;def1098|groupe1;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;162;;Alarme température palier superieur turbine;%M1099;243;def1099|groupe1;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;163;;Alarme température palier superieur alternateur;%M1100;244;def1100|groupe1;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;175;;Défaut Surchauffe température huile pivot alternateur;%M1113;257;def1113|groupe1;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;176;;Défaut Surchauffe température palier inférieur alternateur;%M1114;258;def1114|groupe1;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;177;;Défaut Surchauffe température palier superieur turbine;%M1115;259;def1115|groupe1;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;178;;Défaut Surchauffe température palier superieur alternateur;%M1116;260;def1116|groupe1;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;184;;Défaut communication Diris groupe;%M1122;266;def1122|groupe1;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;185;;Défaut contacteur d'excitation;%M1123;267;def1123|groupe1;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;187;;Défaut mesure de niveau aval grille;%M1125;269;;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;188;;Alarme perte de charge grille;%M1126;270;def1126|groupe1;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;189;;Défaut perte de charge grille;%M1127;271;def1127|groupe1;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;190;;Ordre à distance arrêt;%M1129;273;;;;;;;1;0;1;0;1;;;Inactif;Actif;#
X;191;;Demande de marche sur débit;%M1130;274;;;;;;;1;0;1;0;1;;;Inactif;Actif;#
X;192;;Demande d'arrêt sur débit;%M1131;275;;;;;;;1;0;1;0;1;;;Inactif;Actif;#
X;193;;Défaut détection de fumée turbine;%M1132;276;def1132;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;194;;Disjoncteur BT ouvert;%M1133;277;def119|groupe1;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;195;;Surintensité disjoncteur BT;%M1134;278;def120|groupe1;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;196;;Défaut isolement 500V;%M1135;279;;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;199;;Défaut détection de fumée armoires;%M1138;282;def132|groupe1;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;200;;Fusion fusible interrupteur HT/BT;%M1139;283;def140|groupe1;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;201;;Interrupteur HT/BT ouvert;%M1140;284;def141|groupe1;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;202;;Alarme température transformateur HT/BT;%M1141;285;def142|groupe1;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;203;;Défaut température transformateur HT/BT;%M1142;286;def143|groupe1;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;204;;Dégagement gazeux transformateur HT/BT;%M1143;287;def144|groupe1;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;205;;Défaut pression transformateur HT/BT;%M1144;288;def145|groupe1;;;;;;1;0;1;0;1;;;Normal;DEFAUT;#
X;206;;     ETAT GROUPE:;;;;;3;;;;1;0;0;0;0;;;;;#
X;207;;Groupe en Maintenance ;%M2001;289;;;3;;;;1;0;1;0;1;;;Inactif;Actif;#
X;208;;Groupe en Manu;%M2002;290;;;;;;;1;0;1;0;1;;;Inactif;Actif;#
X;209;;Groupe en Auto;%M2003;291;;;3;;;;1;0;1;0;1;;;Inactif;Actif;#
X;210;;Commutateur groupe sur arrêt;%M2004;292;;;;;;;1;0;1;0;1;;;Inactif;Actif;#
X;211;;Commutateur groupe sur marche;%M2005;293;;;3;;;;1;0;1;0;1;;;Inactif;Actif;#
X;212;;Groupe en Auto groupe 2;%M2003;;;;;;;;1;0;1;0;1;;;Inactif;Actif;#
X;213;;Commutateur groupe sur marche groupe 2;%M2005;;;;;;;;1;0;1;0;1;;;Inactif;Actif;#
X;214;;Retour contacteur de couplage groupe;%M2006;294;;;3;;;;1;0;1;0;1;;;Inactif;Actif;#
X;215;;Retour contacteur de couplage groupe 2;%M2006;;;;;;;;1;0;1;0;1;;;NON;OUI;#
